"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1038","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","2214","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","6379","clearAllFilters","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1121","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","4373","filterCombinationWithNoResults","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3347","filterByRating","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1415","SearchPartialKeyword","chromium","2026-09-21","passed","2026-09-21","","TC01_Product.test.ts","",""
"","2083","increaseAndDecreaseProdQuality","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1079","TC-W07: Wishlist displays correct product details","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1660","verifyDiscountfeature","chromium","2026-09-21","passed","2026-09-21","","TC010_Discount.test.ts","",""
"","4163","filterByMultipleCategories","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1090","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1316","TC-W05: Remove a single product from the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1587","verifyCartTotal","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1106","TC-W11: Add to cart from wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","4366","filterByMultipleCriteria","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1284","TC-W01: Add a single product to the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","991","requiredFieldValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","16587","sortByNameAToZ","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","1346","checkoutPageLoadsCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1147","verifyPositiveTotalCost","edge","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","3869","filterByCategory","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","2509","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","601","verifyESModuleLoading","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","1479","costCalculationCheck","edge","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","775","verifyProductCanBeAddedToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","798","verifyContinueShoppingNavigation","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1194","navigateBackToCart","edge","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1018","VerifyCheckoutwithProductsinCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","3315","productCountUpdatesAfterFilter","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3543","verifyResponsiveGrid","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","1675","addingMultipleProduct","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1324","emailValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1733","multipleDiscount","chromium","2026-09-21","failed","2026-09-21","","TC010_Discount.test.ts","",""
"","1516","navigateBackToCart","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1465","emailValidation","edge","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","18091","acceptsValidInformation","edge","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
