"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","navigateBackToCart","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","400","verifyESModuleLoading","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","2376","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","839","verifyProductCanBeAddedToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1169","TC-W05: Remove a single product from the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","18226","sortByNameAToZ","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","12006","TC-W17: Category filter does not affect wishlist counter","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","2015","increaseAndDecreaseProdQuality","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","3396","acceptsValidInformation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","998","TC-W06 [EDGE]: Remove last item shows empty state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1661","TC-W04: Add product to wishlist from product detail page","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1791","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3834","applyFiltersAfterScrolling","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","736","verifyContinueShoppingNavigation","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1425","TC-W02: Add multiple different products to the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3850","filterByMultipleCategories","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","963","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","17694","sortByRatingHighToLow","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","3347","filterByCategory","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","566","VerifyStartShoppingNavigationFromEmptyCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","901","costCalculationCheck","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","625","VerifyDiscountedProductPriceIsDisplayedCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1092","TC-W14 [EDGE]: Wishlist handles cleared localStorage gracefully","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","703","addSingleProductToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","971","Wishlist is functional on mobile viewport","chromium","2026-09-21","passed","2026-09-21","TC-W21: Mobile viewport","TC03_Wishlist.test.ts","",""
"","1058","requiredFieldValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1373","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1040","TC-W01: Add a single product to the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1017","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3190","filterByRating","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1061","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1438","verifyDiscountfeature","chromium","2026-09-21","passed","2026-09-21","","TC010_Discount.test.ts","",""
"","1443","addingMultipleProduct","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","991","checkoutPageLoadsCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","980","VerifyCheckoutwithProductsinCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","4163","filterCombinationWithNoResults","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","805","verifyCartAfterRefreshing","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1285","SearchFullKeyword","chromium","2026-09-21","passed","2026-09-21","","TC01_Product.test.ts","",""
"","2148","TC-W19 [EDGE]: Rapid heart clicks produce consistent state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","6392","clearAllFilters","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1080","verifyMobileCheckoutLayout","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","638","verifyEmptyCartState","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1167","emailValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1531","verifyCartTotal","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","899","TC-W07: Wishlist displays correct product details","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1263","SearchPartialKeyword","chromium","2026-09-21","passed","2026-09-21","","TC01_Product.test.ts","",""
"","16578","sortByPriceLowToHigh","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","2194","addSameProducttwice","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1119","TC-W11: Add to cart from wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1321","TC-W13: Wishlist persists after page refresh","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","811","verifyPositiveTotalCost","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","4249","filterByMultipleCriteria","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3227","productCountUpdatesAfterFilter","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3284","filterByPriceRange","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1939","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1582","multipleDiscount","chromium","2026-09-21","failed","2026-09-21","","TC010_Discount.test.ts","",""
"","3011","verifyResponsiveGrid","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","426","verifyCheckoutForm","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
