"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13781","sortByPriceLowToHigh","chromium","2026-09-20","passed","2026-09-20","","TC05_Sort.test.ts","",""
"","2164","increaseAndDecreaseProdQuality","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1086","TC-W07: Wishlist displays correct product details","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","791","verifyEmptyCartState","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","3670","acceptsValidInformation","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","1206","TC-W11: Add to cart from wishlist","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","15203","sortByNameAToZ","chromium","2026-09-20","passed","2026-09-20","","TC05_Sort.test.ts","",""
"","4460","filterByMultipleCriteria","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1291","requiredFieldValidation","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","646","verifyESModuleLoading","chromium","2026-09-20","passed","2026-09-20","","TC06_CrossBrowser.test.ts","",""
"","1016","verifyPositiveTotalCost","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","2059","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","3597","verifyResponsiveGrid","chromium","2026-09-20","passed","2026-09-20","","TC06_CrossBrowser.test.ts","",""
"","1519","emailValidation","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","978","addSingleProductToCart","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1591","SearchFullKeyword","chromium","2026-09-20","passed","2026-09-20","","TC01_Product.test.ts","",""
"","3321","productCountUpdatesAfterFilter","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1235","costCalculationCheck","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","3476","filterByPriceRange","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1333","TC-W01: Add a single product to the wishlist","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1149","VerifyCheckoutwithProductsinCart","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","3434","filterByRating","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1841","addingMultipleProduct","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","2646","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1424","TC-W02: Add multiple different products to the wishlist","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","697","VerifyStartShoppingNavigationFromEmptyCart","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1229","TC-W06 [EDGE]: Remove last item shows empty state","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","2346","TC-W19 [EDGE]: Rapid heart clicks produce consistent state","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1778","TC-W04: Add product to wishlist from product detail page","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1362","TC-W05: Remove a single product from the wishlist","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1133","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1567","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","4123","filterByMultipleCategories","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","877","verifyContinueShoppingNavigation","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1415","TC-W14 [EDGE]: Wishlist handles cleared localStorage gracefully","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1490","checkoutPageLoadsCorrectly","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","12355","TC-W17: Category filter does not affect wishlist counter","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","3584","filterByCategory","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1422","verifyMobileCheckoutLayout","chromium","2026-09-20","passed","2026-09-20","","TC06_CrossBrowser.test.ts","",""
"","1544","TC-W13: Wishlist persists after page refresh","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","1061","verifyCartAfterRefreshing","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","490","verifyCheckoutForm","chromium","2026-09-20","passed","2026-09-20","","TC06_CrossBrowser.test.ts","",""
"","1346","navigateBackToCart","chromium","2026-09-20","passed","2026-09-20","","TC07_Checkout.test.ts","",""
"","985","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","6465","clearAllFilters","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1666","verifyCartTotal","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","4108","applyFiltersAfterScrolling","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","1594","SearchPartialKeyword","chromium","2026-09-20","passed","2026-09-20","","TC01_Product.test.ts","",""
"","2246","addSameProducttwice","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1744","verifyDiscountfeature","chromium","2026-09-20","passed","2026-09-20","","TC010_Discount.test.ts","",""
"","1398","Wishlist is functional on mobile viewport","chromium","2026-09-20","passed","2026-09-20","TC-W21: Mobile viewport","TC03_Wishlist.test.ts","",""
"","1828","multipleDiscount","chromium","2026-09-20","failed","2026-09-20","","TC010_Discount.test.ts","",""
"","903","VerifyDiscountedProductPriceIsDisplayedCorrectly","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
"","1271","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","2101","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-20","passed","2026-09-20","","TC03_Wishlist.test.ts","",""
"","15755","sortByRatingHighToLow","chromium","2026-09-20","passed","2026-09-20","","TC05_Sort.test.ts","",""
"","4548","filterCombinationWithNoResults","chromium","2026-09-20","passed","2026-09-20","","TC04_Filters.test.ts","",""
"","898","verifyProductCanBeAddedToCart","chromium","2026-09-20","passed","2026-09-20","","TC02_Cart.test.ts","",""
