"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","644","verifyESModuleLoading","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","4419","applyFiltersAfterScrolling","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1300","costCalculationCheck","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","3846","verifyResponsiveGrid","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","2086","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1496","verifyMobileCheckoutLayout","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","4231","filterByMultipleCategories","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1577","TC-W02: Add multiple different products to the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","2085","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3433","filterByRating","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","4469","filterByMultipleCriteria","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1160","verifyCartAfterRefreshing","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1392","TC-W11: Add to cart from wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","2354","SearchFullKeyword","chromium","2026-09-21","passed","2026-09-21","","TC01_Product.test.ts","",""
"","1288","TC-W01: Add a single product to the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","2183","increaseAndDecreaseProdQuality","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1926","TC-W04: Add product to wishlist from product detail page","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","823","verifyProductCanBeAddedToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","12222","TC-W17: Category filter does not affect wishlist counter","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","6467","clearAllFilters","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","2796","verifyCartTotal","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","2720","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1736","multipleDiscount","chromium","2026-09-21","failed","2026-09-21","","TC010_Discount.test.ts","",""
"","1508","VerifyCheckoutwithProductsinCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","3487","filterByPriceRange","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","2243","TC-W19 [EDGE]: Rapid heart clicks produce consistent state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1509","Wishlist is functional on mobile viewport","chromium","2026-09-21","passed","2026-09-21","TC-W21: Mobile viewport","TC03_Wishlist.test.ts","",""
"","1189","TC-W06 [EDGE]: Remove last item shows empty state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1400","SearchPartialKeyword","chromium","2026-09-21","passed","2026-09-21","","TC01_Product.test.ts","",""
"","519","verifyCheckoutForm","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","1392","checkoutPageLoadsCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","16655","sortByPriceLowToHigh","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","1706","addingMultipleProduct","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","788","VerifyDiscountedProductPriceIsDisplayedCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1280","TC-W14 [EDGE]: Wishlist handles cleared localStorage gracefully","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1289","requiredFieldValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","14950","sortByRatingHighToLow","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","3917","productCountUpdatesAfterFilter","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","1101","TC-W07: Wishlist displays correct product details","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1388","TC-W05: Remove a single product from the wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1288","navigateBackToCart","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","2087","emailValidation","chromium","2026-09-21","failed","2026-09-21","","TC07_Checkout.test.ts","",""
"","989","addSingleProductToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1123","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1963","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1583","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1641","TC-W13: Wishlist persists after page refresh","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3874","acceptsValidInformation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1252","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","811","verifyContinueShoppingNavigation","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","692","verifyEmptyCartState","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","2846","addSameProducttwice","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1713","verifyDiscountfeature","chromium","2026-09-21","passed","2026-09-21","","TC010_Discount.test.ts","",""
"","15624","sortByNameAToZ","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","4363","filterCombinationWithNoResults","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3498","filterByCategory","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","742","VerifyStartShoppingNavigationFromEmptyCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1155","verifyPositiveTotalCost","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
