"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","835","verifyContinueShoppingNavigation","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1113","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1237","costCalculationCheck","chromium","2026-09-18","passed","2026-09-18","","TC07_Checkout.test.ts","",""
"","2611","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1228","TC-W14 [EDGE]: Wishlist handles cleared localStorage gracefully","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1618","addingMultipleProduct","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","1138","TC-W06 [EDGE]: Remove last item shows empty state","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","810","verifyProductCanBeAddedToCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","4255","filterByMultipleCategories","chromium","2026-09-18","passed","2026-09-18","","TC04_Filters.test.ts","",""
"","1587","verifyCartTotal","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","2149","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1918","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","3499","filterByCategory","chromium","2026-09-18","passed","2026-09-18","","TC04_Filters.test.ts","",""
"","1006","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1598","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","6538","clearAllFilters","chromium","2026-09-18","passed","2026-09-18","","TC04_Filters.test.ts","",""
"","1458","TC-W02: Add multiple different products to the wishlist","chromium","2026-09-18","passed","2026-09-18","","TC03_Wishlist.test.ts","",""
"","1117","VerifyCheckoutwithProductsinCart","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","872","verifyCartAfterRefreshing","chromium","2026-09-18","passed","2026-09-18","","TC02_Cart.test.ts","",""
"","3314","filterByRating","chromium","2026-09-18","passed","2026-09-18","","TC04_Filters.test.ts","",""
"","1544","SearchFullKeyword","chromium","2026-09-18","passed","2026-09-18","","TC01_Product.test.ts","",""
"","1009","verifyPositiveTotalCost","chromium","2026-09-18","passed","2026-09-18","","TC07_Checkout.test.ts","",""
"","4408","filterCombinationWithNoResults","chromium","2026-09-18","passed","2026-09-18","","TC04_Filters.test.ts","",""
"","292","verifyCheckoutForm","chromium","2026-09-18","passed","2026-09-18","","TC06_CrossBrowser.test.ts","",""
