"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1749","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","972","costCalculationCheck","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1764","increaseAndDecreaseProdQuality","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1529","TC-W04: Add product to wishlist from product detail page","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1069","emailValidation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","1755","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","940","addSingleProductToCart","chromium","2026-09-21","passed","2026-09-21","","TC02_Cart.test.ts","",""
"","1168","verifyMobileCheckoutLayout","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","949","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1097","TC-W13: Wishlist persists after page refresh","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","3816","filterByMultipleCategories","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3986","applyFiltersAfterScrolling","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3322","acceptsValidInformation","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
"","3384","productCountUpdatesAfterFilter","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","3359","filterByPriceRange","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","6393","clearAllFilters","chromium","2026-09-21","passed","2026-09-21","","TC04_Filters.test.ts","",""
"","841","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","1243","verifyDiscountfeature","chromium","2026-09-21","failed","2026-09-21","","TC010_Discount.test.ts","",""
"","403","verifyESModuleLoading","chromium","2026-09-21","passed","2026-09-21","","TC06_CrossBrowser.test.ts","",""
"","17924","sortByRatingHighToLow","chromium","2026-09-21","passed","2026-09-21","","TC05_Sort.test.ts","",""
"","1162","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-21","passed","2026-09-21","","TC03_Wishlist.test.ts","",""
"","929","checkoutPageLoadsCorrectly","chromium","2026-09-21","passed","2026-09-21","","TC07_Checkout.test.ts","",""
