"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","991","TC-W05: Remove a single product from the wishlist","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","865","TC-W14 [EDGE]: Wishlist handles cleared localStorage gracefully","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1059","TC-W02: Add multiple different products to the wishlist","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","997","TC-W13: Wishlist persists after page refresh","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","852","TC-W18 [EDGE]: Browser back preserves wishlist state","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","776","TC-W07: Wishlist displays correct product details","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1422","TC-W04: Add product to wishlist from product detail page","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","873","TC-W06 [EDGE]: Remove last item shows empty state","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","15080","TC-W09 [EDGE]: Badge does not overflow with many items","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1348","TC-W01: Add a single product to the wishlist","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","839","TC-W11: Add to cart from wishlist","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","728","Wishlist is functional on mobile viewport","chromium","2026-09-17","passed","2026-09-17","TC-W21: Mobile viewport","Wishlist.test.ts","",""
"","597","TC-W10: Empty wishlist displays empty state and shopping CTA","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1774","TC-W03 [EDGE]: Add same product twice — no duplicate","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","2073","TC-W19 [EDGE]: Rapid heart clicks produce consistent state","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1794","TC-W15: Wishlist icon stays consistent between listing and detail pages","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","2793","TC-W17: Category filter does not affect wishlist counter","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","1089","TC-W08: Wishlist badge stays accurate after add and remove","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
"","810","TC-W20 [EDGE]: Remove button is reachable on wishlist","chromium","2026-09-17","passed","2026-09-17","","Wishlist.test.ts","",""
